Changed database context to 'adventureworks'.
Name                                               SalesStatus        
HL Mountain Frame - Black, 38                      Currently for sale 
HL Mountain Frame - Silver, 38                     Currently for sale 
Road-150 Red, 62                                   No longer available
Road-150 Red, 44                                   No longer available
Road-150 Red, 48                                   No longer available
Road-150 Red, 52                                   No longer available
Road-150 Red, 56                                   No longer available
Road-450 Red, 58                                   No longer available
Road-450 Red, 60                                   No longer available
Road-450 Red, 44                                   No longer available
Road-450 Red, 48                                   No longer available
Road-450 Red, 52                                   No longer available
Road-650 Red, 58                                   No longer available
Road-650 Red, 60                                   No longer available
Road-650 Red, 62                                   No longer available
Road-650 Red, 44                                   No longer available
Road-650 Red, 48                                   No longer available
Road-650 Red, 52                                   No longer available
Road-650 Black, 58                                 No longer available
Road-650 Black, 60                                 No longer available
Road-650 Black, 62                                 No longer available
Road-650 Black, 44                                 No longer available
Road-650 Black, 48                                 No longer available
Road-650 Black, 52                                 No longer available
Mountain-100 Silver, 38                            No longer available
Mountain-100 Silver, 42                            No longer available
Mountain-100 Silver, 44                            No longer available
Mountain-100 Silver, 48                            No longer available
Mountain-100 Black, 38                             No longer available
Mountain-100 Black, 42                             No longer available
Mountain-100 Black, 44                             No longer available
Mountain-100 Black, 48                             No longer available
Mountain-200 Silver, 38                            Currently for sale 
Mountain-200 Silver, 42                            Currently for sale 
Mountain-200 Silver, 46                            Currently for sale 
Mountain-200 Black, 38                             Currently for sale 
Mountain-200 Black, 42                             Currently for sale 
Mountain-200 Black, 46                             Currently for sale 
Mountain-300 Black, 38                             No longer available
Mountain-300 Black, 40                             No longer available
Mountain-300 Black, 44                             No longer available
Mountain-300 Black, 48                             No longer available
Road-250 Red, 44                                   No longer available
Road-250 Red, 48                                   No longer available
Road-250 Red, 52                                   No longer available
Road-250 Red, 58                                   Currently for sale 
Road-250 Black, 44                                 Currently for sale 
Road-250 Black, 48                                 Currently for sale 
Road-250 Black, 52                                 Currently for sale 
Road-250 Black, 58                                 Currently for sale 
Road-550-W Yellow, 38                              Currently for sale 
Road-550-W Yellow, 40                              Currently for sale 
Road-550-W Yellow, 42                              Currently for sale 
Road-550-W Yellow, 44                              Currently for sale 
Road-550-W Yellow, 48                              Currently for sale 
LL Fork                                            No longer available
ML Fork                                            No longer available
HL Fork                                            No longer available
LL Headset                                         No longer available
ML Headset                                         No longer available
HL Headset                                         No longer available
LL Mountain Handlebars                             Currently for sale 
ML Mountain Handlebars                             Currently for sale 
HL Mountain Handlebars                             Currently for sale 
LL Road Handlebars                                 Currently for sale 
ML Road Handlebars                                 Currently for sale 
HL Road Handlebars                                 Currently for sale 
ML Mountain Frame - Black, 38                      No longer available
LL Mountain Front Wheel                            No longer available
ML Mountain Front Wheel                            No longer available
HL Mountain Front Wheel                            No longer available
LL Road Front Wheel                                No longer available
ML Road Front Wheel                                No longer available
HL Road Front Wheel                                No longer available
Touring Front Wheel                                No longer available
ML Road Frame-W - Yellow, 38                       Currently for sale 
LL Mountain Rear Wheel                             No longer available
ML Mountain Rear Wheel                             No longer available
HL Mountain Rear Wheel                             No longer available
LL Road Rear Wheel                                 No longer available
ML Road Rear Wheel                                 No longer available
HL Road Rear Wheel                                 No longer available
Touring Rear Wheel                                 No longer available
ML Mountain Frame - Black, 40                      No longer available
ML Mountain Frame - Black, 44                      No longer available
ML Mountain Frame - Black, 48                      No longer available
ML Road Frame-W - Yellow, 40                       Currently for sale 
ML Road Frame-W - Yellow, 42                       Currently for sale 
ML Road Frame-W - Yellow, 44                       Currently for sale 
ML Road Frame-W - Yellow, 48                       Currently for sale 
HL Road Frame - Black, 62                          Currently for sale 
HL Road Frame - Black, 44                          Currently for sale 
HL Road Frame - Black, 48                          Currently for sale 
HL Road Frame - Black, 52                          Currently for sale 
Men's Sports Shorts, S                             No longer available
Touring-Panniers, Large                            No longer available
Cable Lock                                         No longer available
Minipump                                           No longer available
Mountain Pump                                      No longer available
Taillights - Battery-Powered                       No longer available
Headlights - Dual-Beam                             No longer available
Headlights - Weatherproof                          No longer available
Men's Sports Shorts, M                             No longer available
Men's Sports Shorts, L                             No longer available
Men's Sports Shorts, XL                            No longer available
Women's Tights, S                                  No longer available
Women's Tights, M                                  No longer available
Women's Tights, L                                  No longer available
Men's Bib-Shorts, S                                No longer available
Men's Bib-Shorts, M                                No longer available
Men's Bib-Shorts, L                                No longer available
Half-Finger Gloves, S                              Currently for sale 
Half-Finger Gloves, M                              Currently for sale 
Half-Finger Gloves, L                              Currently for sale 
Full-Finger Gloves, S                              No longer available
Full-Finger Gloves, M                              No longer available
Full-Finger Gloves, L                              No longer available
Classic Vest, S                                    Currently for sale 
Classic Vest, M                                    Currently for sale 
Classic Vest, L                                    Currently for sale 
Women's Mountain Shorts, S                         Currently for sale 
Women's Mountain Shorts, M                         Currently for sale 
Women's Mountain Shorts, L                         Currently for sale 
Water Bottle - 30 oz.                              Currently for sale 
Mountain Bottle Cage                               Currently for sale 
Road Bottle Cage                                   Currently for sale 
Patch Kit/8 Patches                                Currently for sale 
Racing Socks, M                                    Currently for sale 
Racing Socks, L                                    Currently for sale 
Hitch Rack - 4-Bike                                Currently for sale 
Bike Wash - Dissolver                              Currently for sale 
Fender Set - Mountain                              Currently for sale 
All-Purpose Bike Stand                             Currently for sale 
Hydration Pack - 70 oz.                            Currently for sale 
Short-Sleeve Classic Jersey, S                     Currently for sale 
Short-Sleeve Classic Jersey, M                     Currently for sale 
Short-Sleeve Classic Jersey, L                     Currently for sale 
Short-Sleeve Classic Jersey, XL                    Currently for sale 
HL Touring Frame - Yellow, 60                      Currently for sale 
LL Touring Frame - Yellow, 62                      Currently for sale 
HL Touring Frame - Yellow, 46                      Currently for sale 
HL Touring Frame - Yellow, 50                      Currently for sale 
HL Touring Frame - Yellow, 54                      Currently for sale 
HL Touring Frame - Blue, 46                        Currently for sale 
HL Touring Frame - Blue, 50                        Currently for sale 
HL Touring Frame - Blue, 54                        Currently for sale 
HL Touring Frame - Blue, 60                        Currently for sale 
Rear Derailleur                                    Currently for sale 
LL Touring Frame - Blue, 50                        Currently for sale 
LL Touring Frame - Blue, 54                        Currently for sale 
LL Touring Frame - Blue, 58                        Currently for sale 
LL Touring Frame - Blue, 62                        Currently for sale 
LL Touring Frame - Yellow, 44                      Currently for sale 
LL Touring Frame - Yellow, 50                      Currently for sale 
LL Touring Frame - Yellow, 54                      Currently for sale 
LL Touring Frame - Yellow, 58                      Currently for sale 
LL Touring Frame - Blue, 44                        Currently for sale 
ML Mountain Frame-W - Silver, 40                   Currently for sale 
ML Mountain Frame-W - Silver, 42                   Currently for sale 
ML Mountain Frame-W - Silver, 46                   Currently for sale 
Rear Brakes                                        Currently for sale 
LL Mountain Seat/Saddle                            Currently for sale 
ML Mountain Seat/Saddle                            Currently for sale 
HL Mountain Seat/Saddle                            Currently for sale 
LL Road Seat/Saddle                                Currently for sale 
ML Road Seat/Saddle                                Currently for sale 
HL Road Seat/Saddle                                Currently for sale 
LL Touring Seat/Saddle                             Currently for sale 
ML Touring Seat/Saddle                             Currently for sale 
HL Touring Seat/Saddle                             Currently for sale 
LL Mountain Frame - Silver, 42                     Currently for sale 
LL Mountain Frame - Silver, 44                     Currently for sale 
LL Mountain Frame - Silver, 48                     Currently for sale 
LL Mountain Frame - Silver, 52                     Currently for sale 
Mountain Tire Tube                                 Currently for sale 
Road Tire Tube                                     Currently for sale 
Touring Tire Tube                                  Currently for sale 
LL Mountain Frame - Black, 42                      Currently for sale 
LL Mountain Frame - Black, 44                      Currently for sale 
LL Mountain Frame - Black, 48                      Currently for sale 
LL Mountain Frame - Black, 52                      Currently for sale 
LL Mountain Tire                                   Currently for sale 
ML Mountain Tire                                   Currently for sale 
HL Mountain Tire                                   Currently for sale 
LL Road Tire                                       Currently for sale 
ML Road Tire                                       Currently for sale 
HL Road Tire                                       Currently for sale 
Touring Tire                                       Currently for sale 
LL Mountain Pedal                                  Currently for sale 
ML Mountain Pedal                                  Currently for sale 
HL Mountain Pedal                                  Currently for sale 
LL Road Pedal                                      Currently for sale 
ML Road Pedal                                      Currently for sale 
HL Road Pedal                                      Currently for sale 
Touring Pedal                                      Currently for sale 
ML Mountain Frame-W - Silver, 38                   Currently for sale 
LL Mountain Frame - Black, 40                      Currently for sale 
LL Mountain Frame - Silver, 40                     Currently for sale 
Front Derailleur                                   Currently for sale 
LL Touring Handlebars                              Currently for sale 
HL Touring Handlebars                              Currently for sale 
Front Brakes                                       Currently for sale 
LL Crankset                                        Currently for sale 
ML Crankset                                        Currently for sale 
HL Crankset                                        Currently for sale 
Chain                                              Currently for sale 
Touring-2000 Blue, 60                              Currently for sale 
Touring-1000 Yellow, 46                            Currently for sale 
Touring-1000 Yellow, 50                            Currently for sale 
Touring-1000 Yellow, 54                            Currently for sale 
Touring-1000 Yellow, 60                            Currently for sale 
Touring-3000 Blue, 54                              Currently for sale 
Touring-3000 Blue, 58                              Currently for sale 
Touring-3000 Blue, 62                              Currently for sale 
Touring-3000 Yellow, 44                            Currently for sale 
Touring-3000 Yellow, 50                            Currently for sale 
Touring-3000 Yellow, 54                            Currently for sale 
Touring-3000 Yellow, 58                            Currently for sale 
Touring-3000 Yellow, 62                            Currently for sale 
Touring-1000 Blue, 46                              Currently for sale 
Touring-1000 Blue, 50                              Currently for sale 
Touring-1000 Blue, 54                              Currently for sale 
Touring-1000 Blue, 60                              Currently for sale 
Touring-2000 Blue, 46                              Currently for sale 
Touring-2000 Blue, 50                              Currently for sale 
Touring-2000 Blue, 54                              Currently for sale 
Road-350-W Yellow, 40                              Currently for sale 
Road-350-W Yellow, 42                              Currently for sale 
Road-350-W Yellow, 44                              Currently for sale 
Road-350-W Yellow, 48                              Currently for sale 
Road-750 Black, 58                                 Currently for sale 
Touring-3000 Blue, 44                              Currently for sale 
Touring-3000 Blue, 50                              Currently for sale 
Mountain-400-W Silver, 38                          Currently for sale 
Mountain-400-W Silver, 40                          Currently for sale 
Mountain-400-W Silver, 42                          Currently for sale 
Mountain-400-W Silver, 46                          Currently for sale 
Mountain-500 Silver, 40                            Currently for sale 
Mountain-500 Silver, 42                            Currently for sale 
Mountain-500 Silver, 44                            Currently for sale 
Mountain-500 Silver, 48                            Currently for sale 
Mountain-500 Silver, 52                            Currently for sale 
Mountain-500 Black, 40                             Currently for sale 
Mountain-500 Black, 42                             Currently for sale 
Mountain-500 Black, 44                             Currently for sale 
Mountain-500 Black, 48                             Currently for sale 
Mountain-500 Black, 52                             Currently for sale 
LL Bottom Bracket                                  Currently for sale 
ML Bottom Bracket                                  Currently for sale 
HL Bottom Bracket                                  Currently for sale 
Road-750 Black, 44                                 Currently for sale 
Road-750 Black, 48                                 Currently for sale 
Road-750 Black, 52                                 Currently for sale 

(295 rows affected)
