Changed database context to 'adventureworks'.
Name                                               NumericSize
Headlights - Weatherproof                                 NULL
Men's Sports Shorts, M                                    NULL
Men's Sports Shorts, L                                    NULL
Men's Sports Shorts, XL                                   NULL
Women's Tights, S                                         NULL
Women's Tights, M                                         NULL
Women's Tights, L                                         NULL
Men's Bib-Shorts, S                                       NULL
Men's Bib-Shorts, M                                       NULL
Men's Bib-Shorts, L                                       NULL
Half-Finger Gloves, S                                     NULL
Half-Finger Gloves, M                                     NULL
Half-Finger Gloves, L                                     NULL
Full-Finger Gloves, S                                     NULL
Full-Finger Gloves, M                                     NULL
Full-Finger Gloves, L                                     NULL
Classic Vest, S                                           NULL
Classic Vest, M                                           NULL
Classic Vest, L                                           NULL
Women's Mountain Shorts, S                                NULL
Women's Mountain Shorts, M                                NULL
Women's Mountain Shorts, L                                NULL
Water Bottle - 30 oz.                                     NULL
Mountain Bottle Cage                                      NULL
Road Bottle Cage                                          NULL
Patch Kit/8 Patches                                       NULL
Racing Socks, M                                           NULL
Racing Socks, L                                           NULL
Hitch Rack - 4-Bike                                       NULL
Bike Wash - Dissolver                                     NULL
Fender Set - Mountain                                     NULL
All-Purpose Bike Stand                                    NULL
Hydration Pack - 70 oz.                                     70
Short-Sleeve Classic Jersey, S                            NULL
Short-Sleeve Classic Jersey, M                            NULL
Short-Sleeve Classic Jersey, L                            NULL
Short-Sleeve Classic Jersey, XL                           NULL
HL Touring Frame - Yellow, 60                               60
LL Touring Frame - Yellow, 62                               62
HL Touring Frame - Yellow, 46                               46
HL Touring Frame - Yellow, 50                               50
HL Touring Frame - Yellow, 54                               54
HL Touring Frame - Blue, 46                                 46
HL Touring Frame - Blue, 50                                 50
HL Touring Frame - Blue, 54                                 54
HL Touring Frame - Blue, 60                                 60
Rear Derailleur                                           NULL
LL Touring Frame - Blue, 50                                 50
LL Touring Frame - Blue, 54                                 54
LL Touring Frame - Blue, 58                                 58
LL Touring Frame - Blue, 62                                 62
LL Touring Frame - Yellow, 44                               44
LL Touring Frame - Yellow, 50                               50
LL Touring Frame - Yellow, 54                               54
LL Touring Frame - Yellow, 58                               58
LL Touring Frame - Blue, 44                                 44
ML Mountain Frame-W - Silver, 40                            40
ML Mountain Frame-W - Silver, 42                            42
ML Mountain Frame-W - Silver, 46                            46
Rear Brakes                                               NULL
LL Mountain Seat/Saddle                                   NULL
ML Mountain Seat/Saddle                                   NULL
HL Mountain Seat/Saddle                                   NULL
LL Road Seat/Saddle                                       NULL
ML Road Seat/Saddle                                       NULL
HL Road Seat/Saddle                                       NULL
LL Touring Seat/Saddle                                    NULL
ML Touring Seat/Saddle                                    NULL
HL Touring Seat/Saddle                                    NULL
LL Mountain Frame - Silver, 42                              42
LL Mountain Frame - Silver, 44                              44
LL Mountain Frame - Silver, 48                              48
LL Mountain Frame - Silver, 52                              52
Mountain Tire Tube                                        NULL
Road Tire Tube                                            NULL
Touring Tire Tube                                         NULL
LL Mountain Frame - Black, 42                               42
LL Mountain Frame - Black, 44                               44
LL Mountain Frame - Black, 48                               48
LL Mountain Frame - Black, 52                               52
LL Mountain Tire                                          NULL
ML Mountain Tire                                          NULL
HL Mountain Tire                                          NULL
LL Road Tire                                              NULL
ML Road Tire                                              NULL
HL Road Tire                                              NULL
Touring Tire                                              NULL
LL Mountain Pedal                                         NULL
ML Mountain Pedal                                         NULL
HL Mountain Pedal                                         NULL
LL Road Pedal                                             NULL
ML Road Pedal                                             NULL
HL Road Pedal                                             NULL
Touring Pedal                                             NULL
ML Mountain Frame-W - Silver, 38                            38
LL Mountain Frame - Black, 40                               40
LL Mountain Frame - Silver, 40                              40
Front Derailleur                                          NULL
LL Touring Handlebars                                     NULL
HL Touring Handlebars                                     NULL
Front Brakes                                              NULL
LL Crankset                                               NULL
ML Crankset                                               NULL
HL Crankset                                               NULL
Chain                                                     NULL
Touring-2000 Blue, 60                                       60
Touring-1000 Yellow, 46                                     46
Touring-1000 Yellow, 50                                     50
Touring-1000 Yellow, 54                                     54
Touring-1000 Yellow, 60                                     60
Touring-3000 Blue, 54                                       54
Touring-3000 Blue, 58                                       58
Touring-3000 Blue, 62                                       62
Touring-3000 Yellow, 44                                     44
Touring-3000 Yellow, 50                                     50
Touring-3000 Yellow, 54                                     54
Touring-3000 Yellow, 58                                     58
Touring-3000 Yellow, 62                                     62
Touring-1000 Blue, 46                                       46
Touring-1000 Blue, 50                                       50
Touring-1000 Blue, 54                                       54
Touring-1000 Blue, 60                                       60
Touring-2000 Blue, 46                                       46
Touring-2000 Blue, 50                                       50
Touring-2000 Blue, 54                                       54
Road-350-W Yellow, 40                                       40
Road-350-W Yellow, 42                                       42
Road-350-W Yellow, 44                                       44
Road-350-W Yellow, 48                                       48
Road-750 Black, 58                                          58
Touring-3000 Blue, 44                                       44
Touring-3000 Blue, 50                                       50
Mountain-400-W Silver, 38                                   38
Mountain-400-W Silver, 40                                   40
Mountain-400-W Silver, 42                                   42
Mountain-400-W Silver, 46                                   46
Mountain-500 Silver, 40                                     40
Mountain-500 Silver, 42                                     42
Mountain-500 Silver, 44                                     44
Mountain-500 Silver, 48                                     48
Mountain-500 Silver, 52                                     52
Mountain-500 Black, 40                                      40
Mountain-500 Black, 42                                      42
Mountain-500 Black, 44                                      44
Mountain-500 Black, 48                                      48
Mountain-500 Black, 52                                      52
LL Bottom Bracket                                         NULL
ML Bottom Bracket                                         NULL
HL Bottom Bracket                                         NULL
Road-750 Black, 44                                          44
Road-750 Black, 48                                          48
Road-750 Black, 52                                          52

(295 rows affected)
