Changed database context to 'adventureworks'.
Name                                               SingleColor    
Front Derailleur                                   Silver         
LL Touring Handlebars                              NULL           
HL Touring Handlebars                              NULL           
Front Brakes                                       Silver         
LL Crankset                                        Black          
ML Crankset                                        Black          
HL Crankset                                        Black          
Chain                                              Silver         
Touring-2000 Blue, 60                              Blue           
Touring-1000 Yellow, 46                            Yellow         
Touring-1000 Yellow, 50                            Yellow         
Touring-1000 Yellow, 54                            Yellow         
Touring-1000 Yellow, 60                            Yellow         
Touring-3000 Blue, 54                              Blue           
Touring-3000 Blue, 58                              Blue           
Touring-3000 Blue, 62                              Blue           
Touring-3000 Yellow, 44                            Yellow         
Touring-3000 Yellow, 50                            Yellow         
Touring-3000 Yellow, 54                            Yellow         
Touring-3000 Yellow, 58                            Yellow         
Touring-3000 Yellow, 62                            Yellow         
Touring-1000 Blue, 46                              Blue           
Touring-1000 Blue, 50                              Blue           
Touring-1000 Blue, 54                              Blue           
Touring-1000 Blue, 60                              Blue           
Touring-2000 Blue, 46                              Blue           
Touring-2000 Blue, 50                              Blue           
Touring-2000 Blue, 54                              Blue           
Road-350-W Yellow, 40                              Yellow         
Road-350-W Yellow, 42                              Yellow         
Road-350-W Yellow, 44                              Yellow         
Road-350-W Yellow, 48                              Yellow         
Road-750 Black, 58                                 Black          
Touring-3000 Blue, 44                              Blue           
Touring-3000 Blue, 50                              Blue           
Mountain-400-W Silver, 38                          Silver         
Mountain-400-W Silver, 40                          Silver         
Mountain-400-W Silver, 42                          Silver         
Mountain-400-W Silver, 46                          Silver         
Mountain-500 Silver, 40                            Silver         
Mountain-500 Silver, 42                            Silver         
Mountain-500 Silver, 44                            Silver         
Mountain-500 Silver, 48                            Silver         
Mountain-500 Silver, 52                            Silver         
Mountain-500 Black, 40                             Black          
Mountain-500 Black, 42                             Black          
Mountain-500 Black, 44                             Black          
Mountain-500 Black, 48                             Black          
Mountain-500 Black, 52                             Black          
LL Bottom Bracket                                  NULL           
ML Bottom Bracket                                  NULL           
HL Bottom Bracket                                  NULL           
Road-750 Black, 44                                 Black          
Road-750 Black, 48                                 Black          
Road-750 Black, 52                                 Black          

(295 rows affected)
